titre,auteur,editeur,date_edition,prix,photo,categories,etat,resume,_id
Les lignes de la main,Jeanne Dujarric,Albin Michel,1980,3.30€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20103-1.JPG,"Religion et Spiritualité,Esotérisme","Livre en bon état, couverture un peu usée﻿","L'étude de la main au point de vue de l'art divinatoire a donné naissance à deux sciences qui se complètent l'une l'autre, et dont les praticiens appliquent indifféremment les données, mais qui, en théorie, sont différentes : la chirognomonie et la chiromancie.La chirognomonie a pour but de reconnaître, par la simple observation de la forme de l'ensemble de la main et de ses parties, le caractère, le tempérament et les aptitudes des individus.La chiromancie se propose, par l'étude des lignes ou incisures et signes tracés dans la main, et de leurs combinaisons, la découverte des événements survenus dans le passé d'une personne, et la prédiction de ceux qui interviendront encore dans sa vie.Les signes dont l'étude constitue la chirognomonie sont acquis à l'homme par l'hérédité ; ceux qui sont utilisés pour la chiromancie lui viennent des influences astrales, de sa constitution et de son cerveau.Ces deux sciences sont très anciennes, et ne se sont élaborées qu'au prix de longues et patientes observations, dont étaient seuls capables des cerveaux façonnés aux études abstraites. Aussi n'ont-elles pu naître qu'au sein de civilisations avancées.L'ouvrage passionnant, devenu aujourd'hui un classique, de Jeanne Dujarric ne s'attache pas à la ""théorie"" de chacune des sciences en question. Il donne au lecteur ce qui leur est sans nul doute le plus nécessaire, c'est-à-dire la signification des lignes et des signes, permettant ainsi à chacun de dépeindre le caractère, le tempérament, les penchants du sujet qu'il examine, de lui dire ce qui lui est arrivé de saillant dans le passé, et de lui prédire ce qui lui arrivera dans l'avenir.",9d2e830ea56d6a5d11c6e5a55b4130c198b0db7405b02926280140b3f9298a9a
L’Astrologie Hébraïque,Docteur G. Lahmi,Lieu Commun,1984,9.60€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20078-1.JPG,"Religion et Spiritualité,Esotérisme,Religion et Spiritualité,Astrologie",Livre en bon état﻿,"L'Astrologie hébraïque reprend à son compte, et sous un éclairage tout à fait original, les douze signes du Zodiaque, les mêmes que connaît l'astrologie occidentale. Elle développe aussi l'étude de la caractériologie à l'aide des quatre éléments fondamentaux (le feu, l'air, l'eau, la terre), théorie que l'on attribue généralement à Aristote mais dont certains auteurs hébraïsants trouvent la source chez le roi Salomon, grand adepte des traditions ésotériques. De nombreux autres facteurs viennent accuser la différence qui existe entre ces deux astrologies :- les pôles de réussite (Est, Ouest, Nord, Sud) propres à chaque signe et mis en relation avec les quatre éléments- l'importance du jour de la semaine qui imprime sur le natif une caractériologie en rapport avec les évènements marquants des sept premiers jours de la Création- l'influence de trois astres seulement sur le thème du natif (""astre dominant"", ""astre ascendant"" et ""astre influent"")- un ascendant hébraïque qui trouve une formulation tout à fait originale et aboutit donc à des résultats différents- enfin, un calendrier luni-solaire qui prend en compte les douze lunaisons, chacune étant mise en rapport avec un signe du Zodiaque.Il manquait à l'édifice qu'on appelle ""astrologie"" cette pierre angulaire qui constitue l'astrologie hébraïque. Voilà qui est chose faite.",7aa8855fc92b236e14b92468c7f0f55eec2afe89016f890019796e25d253dc8a
Parole d’un Pharmacien : LA Vérité s’ils se trompent,Michel Gleizes,,2022,9.60€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20079-1.JPG,"Médecine et Biologie,Santé et Bien-être,Santé","Livre en bon état, dédicacé.﻿","""L'Homéopathie est un système de médecine traditionnelle qui devrait être intégré mondialement en conjonction avec la médecine conventionnelle afin de fournir un système de soin global approprié."" OMSMichel Gleizes Maître es Mathématique, ancien élève d'Alexandre Grothendieck, Docteur en Pharmacie, mais surtout riche de près de quarante années d'Officine nous offre un ouvrage abordable à tout un chacun, en vue de redonner à notre médecine un équilibre malheureusement détruit au fil des années.Ce texte écrit comme une démonstration Mathématique, détruit les raisonnements des Homéo sceptiques, pour théoriser à l'aide de la physique quantique et de la vision onde particule, l'existence des dilutions infinitésimales.L'auteur en s'appuyant sur des arguments, et des faits irréfutables aborde de nombreux problèmes sous l'angle scientifique, médical et philosophique : médecine conventionnelle, rejet de l'homéopathie, vision étriquée des lois physiques, génétique, vaccins, crise sanitaire COVID, syndrome ORPEA, alimentation, typologie, psychologie de nos dirigeants, historique et orientations sociétales.Par effet domino notre société est analysée, pour en arriver à la conclusion que la logique n'est presque jamais du côté que nous croyons, du coté dominant de la pensée conventionnelle devenue au fil du temps pensée unique.Le lecteur comprendra qu'il est un individu proche d'Einstein, de Planck, de Schrödinger, de De Broglie, ou autre Grothendieck, et que les clefs de la liberté et de ses choix lui appartiennent.Dernier détail et non des moindres, on trouve dans cet ouvrage une oralité méridionale, telle que la lecture en devient une potion régénérante pour notre cerveau.",2b09ae58d9779b0e0058544fd21078e64e2eac8a58f8ddd99d7c5a136a2b6828
Parole d’un Pharmacien 2 : L’Esprit et la matière,Michel Gleizes,,2023,9.60€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20080-1.JPG,"Médecine et Biologie,Santé et Bien-être,Santé","Livre en bon état, dédicacé﻿","Kurt Göbel, considéré comme le plus grand logicien depuis Aristote, démontra en1931, que tout système arithmétique correct est incomplet. ""La vérité d'aujourd'hui ne sera pas celle de demain.""Einstein développe en 1915 la théorie de la relativité et de fait détruit notre vision du temps et de l'espace.Bohr, De Broglie, Schrödinger, Planck… en 1920 découvrent la propriété ondulatoire des constituants de la matière, ils donnent à cette notion absolue une incertitude quantitative, et en dévoilent l'image d'une ""entité vibratoire"".Ces trois révolutions ébranlent notre pensée héritée du siècle des lumières à l'origine de toutes les gouvernances connues à ce jour qui ont toutes pour fondement le matérialiste.L'auteur rend dans ce texte toutes ces notions accessibles à notre entendement, et dans son style très particulier, que l'on a découvert dans son premier ouvrage ""La vérité s'ils se trompent"", il nous redonne le sens de l'interrogation, du désir de connaître.La dualité au sens complémentarité et non plus opposition devient une évidence, ce concept imprègne notre environnement, social, politique, scientifique et médical.Nous retrouvons au travers de ce texte un raisonnement Mathématique qui relie ce que nous avions cru à jamais contradictoire mais surtout nous nous retrouvons, nous tous, face au défi d'une citoyenneté scientifique, ""dernière solution de l'Humanité ?""Après la lecture de ce deuxième essai, la bonne nouvelle est de savoir que Michel Gleizes, Mathématicien confirmé, Docteur en Pharmacie et Pédagogue se penche déjà sur un troisième ouvrage.",86b503dffb614554e31e66d46029d6156393c0f53edb8b467739e571195b44fd
Votre destin et le zodiac,Michèle Curcio,France Loisirs,1984,4.40€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20081-1.JPG,"Religion et Spiritualité,Esotérisme,Religion et Spiritualité,Astrologie",Livre en bon état﻿,"Toutes les connaissances essentielles sur les signes du zodiaque. L'analyse détaillée de chaque signe : caractère, influence sur la physionomie, la santé, la situation professionnelle, les conceptions amoureuses et la sexualité, etc.Une étude du comportement de chaque homme ou de chaque femme d'un signe déterminé par rapport aux individus appartenant au même ou à l'un des onze autres signes.",a2ea9f426a85a23f1e8973dbe969eb854a9cc74504e5ebb4eb8fa3732181f41b
Communiquer avec l’au-delà,Danielle Hemmert et Alex Roudene,Vernoy – Famot,1983,4.90€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20082-1.JPG,"Religion et Spiritualité,Esotérisme",Livre en bon étatVous voulez plus d'information sur cet article :contactez moi,Non disponible,ae4875acc1c3ed3aeaebea472de988a8ae85346afbebb2124f23413db790e90c
Cuisine sans gluten en 120 recettes,Véronique Liégeois,First Editions,2014,1.90€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20083-1.JPG,Cuisine,Livre en bon état﻿,,2b1ec5eac2e7d42f4ec2a4873cab55f8f085eddf079e0a5e8d57ff3e3c1cc6ac
140 recettes en 10 minutes chrono,Héloïse Martel,First Editions,2014,1.90€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20084-1.JPG,Cuisine,Livre en bon état,Non disponible,78068f12187c54aee430a188adf530579e8a2eb2c22b233ce7730eaf99ddc53a
Le petit livre des salades minceur,Carole Nitsche,First Editions,2003,1.90€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20085-1.JPG,Cuisine,Livre en bon état﻿,"Des recette originales pour une cuisine légèrePartenaires minceur des beaux jours, les salades sont idéales pour varier les plaisirs de la table tout en faisant attention à sa ligne. Complètes et légères, colorées et pleines de vitamines, elles sont aussi inratables et rapides à composer.A déguster en solo au bureau ou en famille…Découvrez nos 150 recettes parmi lesquelles des salades de légumes, de poissons, des taboulés, des salades de fruits,... ainsi que de nombreuses sauces d'accompagnement et vinaigrettes light pour vos menus poids plume !",9d6a42ddef539ea7e1a5c7180efd65c2e44a167caceac87bded2398bba25d652
La bonne aventure par les cartes à jouer,Jonathan Dee,Arcana Sacra,2020,7.70€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20086-1.JPG,"Religion et Spiritualité,Esotérisme",Livre en bon état﻿,"Il n'est pas nécessaire de se servir de cartes du tarot pour savoir ce que l'avenir nous réserve. Un jeu de cartes ordinaire peut être suffisant, tant que vous savez comment les interpréter.La Bonne Aventure par les cartes à jouer enseigne à ses lecteurs comment traduire les quatre suites du tarot en des termes que nous avons appris à connaître grâce au jeu de cartes à jouer ordinaire : cœur, carreau, pique et trèfle. Les lecteurs découvriront les significations des cartes, leurs associations astrologiques et la signification de leurs nombres. Il y a même des suggestions sur la manière de faire une lecture rapide quand vous manquez de temps. Vous saurez ainsi ce que les cartes ont à vous révéler.",b70a43e99cdb7fd1809540a67cb330a1734fc7bb8f6094f76f351b20d2e4ccc0
